id,plan_id,payer_id,drug_name,ndc_code,jcode,state_name,coverage_status,drug_tier,drug_requirements,is_prior_authorization_required,is_step_therapy_required,is_quantity_limit_applied,coverage_details,confidence_score,source_url,plan_name,payer_name,file_name,status
3412edf0-8ca9-4804-887c-b1b17068c233,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,ANCOBON ORAL CAPSULE,,,New York,Covered with Conditions,3,PA,Yes,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
e3d79f19-7a82-417d-8cf7-cfc4bb3ff764,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,BREXAFEMME ORAL TABLET,,,New York,Covered with Conditions,3,ST; QL,Yes,Yes,Yes,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
6eb4b0ab-ac5b-4b5e-ad70-c3b0fb4d56c4,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,clotrimazole mucous membrane troche,,,New York,Covered,1,,No,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
862d9a1f-cf95-4957-a561-5d95a7804d7a,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,CRESEMBA ORAL CAPSULE,,,New York,Covered with Conditions,2,PA,Yes,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
2a806363-d93f-46f4-8c97-8aae3add797c,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,DIFLUCAN ORAL SUSPENSION FOR RECONSTITUTION 40 MG/ML,,,New York,Covered,3,,No,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
162cc5e9-7a8e-4bad-9289-345256457556,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,fluconazole oral suspension for reconstitution,,,New York,Covered,1,,No,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
834aa4e3-3444-40e4-9066-59ea6a8be883,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,"fluconazole oral tablet 100 mg, 200 mg, 50 mg",,,New York,Covered,1,,No,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
3f011264-d2c0-4f49-b6d9-df51cfad8fc3,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,fluconazole oral tablet 150,,,New York,Covered with Conditions,1,QL,Yes,No,Yes,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
7441f097-e103-4be0-8cff-c02a0df4d676,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,flucytosine oral capsule,,,New York,Covered with Conditions,1,PA,Yes,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
e1b19f24-447e-4fa3-aaaa-d866bd10b54e,2918dce8-69c6-4bc2-bd4d-205b119edeb1,d6b2fd61-475e-49dd-986a-1067f68a903e,griseofulvin microsize oral suspension,,,New York,Covered,1,,No,No,No,,0.95,https://www.emblemhealth.com/content/dam/emblemhealth/pdfs/resources/formularies/2025/small-group-essential-plan-qualified-health-plan-formulary-2025-emblemhealth.pdf,Essential Plan,Emblem Health,New York_Emblem Health_Essential Plan.pdf,processing
